Date,Period,Day-Ahead Price
2013-01-05,23,52.9
2013-01-05,24,50.92
2013-01-05,25,50.92
2013-01-05,26,50.04
2013-01-05,27,50.04
2013-01-05,28,47.5
2013-01-05,29,47.5
2013-01-05,30,40
2013-01-05,31,40
2013-01-05,32,57.4
2013-01-05,33,57.4
2013-01-05,34,95.01
2013-01-05,35,95.01
2013-01-05,36,67
2013-01-05,37,67
2013-01-05,38,46.95
2013-01-05,39,46.95
2013-01-05,40,47.98
2013-01-05,41,47.98
2013-01-05,42,46.99
2013-01-05,43,46.99
2013-01-05,44,40.93
2013-01-05,45,40.93
2013-01-05,46,44.05
2013-01-05,47,44.05
2013-01-06,0,44.96
2013-01-06,1,44.96
2013-01-06,2,44
2013-01-06,3,44
2013-01-06,4,31.9
2013-01-06,5,31.9
2013-01-06,6,31.54
2013-01-06,7,31.54
2013-01-06,8,28.96
2013-01-06,9,28.96
2013-01-06,10,28.47
2013-01-06,11,28.47
2013-01-06,12,27.91
2013-01-06,13,27.91
2013-01-06,14,31.94
2013-01-06,15,31.94
2013-01-06,16,35.89
2013-01-06,17,35.89
2013-01-06,18,39.2
2013-01-06,19,39.2
2013-01-06,20,46.86
2013-01-06,21,46.86
2013-01-06,22,46.89
2013-01-06,23,46.89
2013-01-06,24,56.11
2013-01-06,25,56.11
2013-01-06,26,49.08
2013-01-06,27,49.08
2013-01-06,28,45
2013-01-06,29,45
2013-01-06,30,40.54
2013-01-06,31,40.54
2013-01-06,32,65.96
2013-01-06,33,65.96
2013-01-06,34,90.07
2013-01-06,35,90.07
2013-01-06,36,50.17
2013-01-06,37,50.17
2013-01-06,38,48.97
2013-01-06,39,48.97
2013-01-06,40,48.52
2013-01-06,41,48.52
2013-01-06,42,46.88
2013-01-06,43,46.88
2013-01-06,44,41.04
2013-01-06,45,41.04
2013-01-06,46,39.69
2013-01-06,47,39.69
2013-01-07,0,44.08
2013-01-07,1,44.08
2013-01-07,2,31.99
2013-01-07,3,31.99
2013-01-07,4,30.97
2013-01-07,5,30.97
2013-01-07,6,27.35
2013-01-07,7,27.35
2013-01-07,8,27.17
2013-01-07,9,27.17
2013-01-07,10,30.94
2013-01-07,11,30.94
2013-01-07,12,44.69
2013-01-07,13,44.69
2013-01-07,14,49.58
2013-01-07,15,49.58
2013-01-07,16,54.95
2013-01-07,17,54.95
2013-01-07,18,49.88
2013-01-07,19,49.88
2013-01-07,20,49.66
2013-01-07,21,49.66
2013-01-07,22,49.93
2013-01-07,23,49.93
2013-01-07,24,49.92
2013-01-07,25,49.92
2013-01-07,26,47.09
2013-01-07,27,47.09
2013-01-07,28,48.07
2013-01-07,29,48.07
2013-01-07,30,41.18
2013-01-07,31,41.18
2013-01-07,32,66.96
2013-01-07,33,66.96
2013-01-07,34,84.98
2013-01-07,35,84.98
2013-01-07,36,54.85
2013-01-07,37,54.85
2013-01-07,38,60.04
2013-01-07,39,60.04
2013-01-07,40,49.05
2013-01-07,41,49.05
2013-01-07,42,45.1
2013-01-07,43,45.1
2013-01-07,44,41.6
2013-01-07,45,41.6
2013-01-07,46,37.93
2013-01-07,47,37.93
2013-01-08,0,33.7
2013-01-08,1,33.7
2013-01-08,2,31.73
2013-01-08,3,31.73
2013-01-08,4,31.53
2013-01-08,5,31.53
2013-01-08,6,29.26
2013-01-08,7,29.26
2013-01-08,8,29.41
2013-01-08,9,29.41
2013-01-08,10,34.13
2013-01-08,11,34.13
2013-01-08,12,48.68
2013-01-08,13,48.68
2013-01-08,14,50.14
2013-01-08,15,50.14
2013-01-08,16,52.22
2013-01-08,17,52.22
2013-01-08,18,49.9
2013-01-08,19,49.9
2013-01-08,20,50.39
2013-01-08,21,50.39
2013-01-08,22,50.39
2013-01-08,23,50.39
2013-01-08,24,50
2013-01-08,25,50
2013-01-08,26,49.9
2013-01-08,27,49.9
2013-01-08,28,48
2013-01-08,29,48
2013-01-08,30,46.87
2013-01-08,31,46.87
2013-01-08,32,65.05
2013-01-08,33,65.05
2013-01-08,34,85.08
2013-01-08,35,85.08
2013-01-08,36,65
2013-01-08,37,65
2013-01-08,38,54.92
2013-01-08,39,54.92
2013-01-08,40,51.99
2013-01-08,41,51.99
2013-01-08,42,48.59
2013-01-08,43,48.59
2013-01-08,44,42.07
2013-01-08,45,42.07
2013-01-08,46,37.94
2013-01-08,47,37.94
2013-01-09,0,35.05
2013-01-09,1,35.05
2013-01-09,2,34.07
2013-01-09,3,34.07
2013-01-09,4,31.6
2013-01-09,5,31.6
2013-01-09,6,29.61
2013-01-09,7,29.61
2013-01-09,8,29.97
2013-01-09,9,29.97
2013-01-09,10,33.72
2013-01-09,11,33.72
2013-01-09,12,49.93
2013-01-09,13,49.93
2013-01-09,14,50
2013-01-09,15,50
2013-01-09,16,49.99
2013-01-09,17,49.99
2013-01-09,18,51.42
2013-01-09,19,51.42
2013-01-09,20,51.31
2013-01-09,21,51.31
2013-01-09,22,51.47
2013-01-09,23,51.47
2013-01-09,24,51.58
2013-01-09,25,51.58
2013-01-09,26,51.39
2013-01-09,27,51.39
2013-01-09,28,47.17
2013-01-09,29,47.17
2013-01-09,30,45.55
2013-01-09,31,45.55
2013-01-09,32,62
2013-01-09,33,62
2013-01-09,34,119.92
2013-01-09,35,119.92
2013-01-09,36,66.93
2013-01-09,37,66.93
2013-01-09,38,54.96
2013-01-09,39,54.96
2013-01-09,40,52.06
