Date,Period,SSP,SBP
2013-01-04,13,32.09639,35.8
2013-01-04,14,30.36466,35.67
2013-01-04,15,32.06064,45.02
2013-01-04,16,32.27604,45.3
2013-01-04,17,36.49303,44.39
2013-01-04,18,37.32987,44.02
2013-01-04,19,44.25,68.16139
2013-01-04,20,45.73,92.20843
2013-01-04,21,47.37,82.93527
2013-01-04,22,48.25,73.65407
2013-01-04,23,51.02,64.33
2013-01-04,24,37.93832,51.92
2013-01-04,25,36.87287,50.89
2013-01-04,26,36.60406,49.31
2013-01-04,27,36.8233,46.77
2013-01-04,28,37.25578,46.16
2013-01-04,29,38.3,46.11
2013-01-04,30,46.5,55
2013-01-04,31,37.24483,52.04
2013-01-04,32,36.13526,52.28
2013-01-04,33,38.05489,60.33
2013-01-04,34,39,69.55
2013-01-04,35,39,84.58
2013-01-04,36,39.58185,82.77
2013-01-04,37,38.24564,69.16
2013-01-04,38,38.37361,63.63
2013-01-04,39,38.34126,51.29
2013-01-04,40,37.90328,48.84
2013-01-04,41,37.48753,49.27
2013-01-04,42,37.20221,49.42
2013-01-04,43,37.30868,48.77
2013-01-04,44,37.26081,48.78
2013-01-04,45,37.26643,47.99
2013-01-04,46,47.05,54.72654
2013-01-04,47,45.93,58.26175
2013-01-04,48,45.38,56.08385
2013-01-05,1,46.91,57.21323
2013-01-05,2,47.17,57.20785
2013-01-05,3,49.26,56.22853
2013-01-05,4,37.25,49.69
2013-01-05,5,29.74104,46.03
2013-01-05,6,27.34221,44.91
2013-01-05,7,26.54334,38.38
2013-01-05,8,26.08826,35.32
2013-01-05,9,23.70508,35.01
2013-01-05,10,27.22339,34.07
2013-01-05,11,26.41227,32.13
2013-01-05,12,25.61584,32.06
2013-01-05,13,25.91677,32.66
2013-01-05,14,26.67236,33.73
2013-01-05,15,24.91622,37.28
2013-01-05,16,26.02377,38.68
2013-01-05,17,29.03352,42.76
2013-01-05,18,31.46316,44.03
2013-01-05,19,34.62628,51.43
2013-01-05,20,35.78565,47.55
2013-01-05,21,34.79769,46.61
2013-01-05,22,34.38442,46.39
2013-01-05,23,35.52277,45.61
2013-01-05,24,36.00066,45.87
2013-01-05,25,35.78089,45.45
2013-01-05,26,36.35728,44.5
2013-01-05,27,35.04068,42.32
2013-01-05,28,34.65314,42.66
2013-01-05,29,33.8067,42.51
2013-01-05,30,32.40337,42.36
2013-01-05,31,33.88145,46.98
2013-01-05,32,32.70229,47.55
2013-01-05,33,33.91883,52.17
2013-01-05,34,36.12855,58.21
2013-01-05,35,36.05098,70.88
2013-01-05,36,36.37006,71.09
2013-01-05,37,36.81423,62.06
2013-01-05,38,35.16597,57.46
2013-01-05,39,34.69788,48.26
2013-01-05,40,35.40987,47.23
2013-01-05,41,36.99575,49.43
2013-01-05,42,36.38674,47.4
2013-01-05,43,36.87047,48.45
2013-01-05,44,37.18087,48.48
2013-01-05,45,36.2797,46.98
2013-01-05,46,36.89096,46.62
2013-01-05,47,47.46,55.82001
2013-01-05,48,34.39238,49.04
2013-01-06,1,33.82385,49.31
2013-01-06,2,50.5,53.71952
2013-01-06,3,53.6,54.8884
2013-01-06,4,31.53158,53.96
2013-01-06,5,30.60824,54.03
2013-01-06,6,31.46194,54.36
2013-01-06,7,29.80963,35.09
2013-01-06,8,27.10726,34.16
2013-01-06,9,26.67914,31.66
2013-01-06,10,26.75365,31.74
2013-01-06,11,26.44511,31.07
2013-01-06,12,26.85571,30.67
2013-01-06,13,31.14,55.89486
2013-01-06,14,31.18501,31.18501
2013-01-06,15,27.11495,39.33
2013-01-06,16,27.1761,39.2
2013-01-06,17,29.75583,41.39
2013-01-06,18,30.7254,42.72
2013-01-06,19,29.03918,53.05
2013-01-06,20,29.86888,51.4
2013-01-06,21,33.92628,52.69
2013-01-06,22,34.27561,52.81
2013-01-06,23,35.85383,53.52
2013-01-06,24,35.94018,53.79
2013-01-06,25,36.22695,53.27
2013-01-06,26,36.81648,53.76
2013-01-06,27,37.28933,51.27
2013-01-06,28,36.86225,51.2
2013-01-06,29,36.94686,48.57
2013-01-06,30,37.17135,47.3
2013-01-06,31,37.13385,49.28
2013-01-06,32,37.61,49.98
2013-01-06,33,56.11,78.23953
2013-01-06,34,77.51,92.25669
2013-01-06,35,85.95,94.59838
2013-01-06,36,81.99,93.39668
2013-01-06,37,38.70615,77.54
2013-01-06,38,37.39026,69.97
2013-01-06,39,37.31326,56.04
2013-01-06,40,37.24728,56.68
2013-01-06,41,37.21217,56.16
2013-01-06,42,37.27454,54.72
2013-01-06,43,38,49.6
2013-01-06,44,37.14579,49.37
2013-01-06,45,36.35215,47.3
2013-01-06,46,32.26124,44.53
2013-01-06,47,29.25097,40.31
2013-01-06,48,27.25713,34.18
2013-01-07,1,26.90307,36.75
2013-01-07,2,26.39567,38.74
2013-01-07,3,26.48378,37.42
2013-01-07,4,21.12704,33.2
2013-01-07,5,20.68891,28.62
2013-01-07,6,23.46614,30.64
2013-01-07,7,23.33297,30.33
2013-01-07,8,23.42045,28.26
2013-01-07,9,25.40221,28.25
2013-01-07,10,25.877,28.34
2013-01-07,11,25.54481,30.28
2013-01-07,12,25.26218,32.77
2013-01-07,13,29.65035,42.14
2013-01-07,14,32.71192,42.92
2013-01-07,15,33.21957,42.49
2013-01-07,16,35.31726,43.39
2013-01-07,17,35.10476,41.87
2013-01-07,18,33.71247,44.06
2013-01-07,19,34.89326,47.95
2013-01-07,20,37.45621,49.01
2013-01-07,21,37.64789,48.94
2013-01-07,22,38.02168,48.38
2013-01-07,23,38.19436,43.26
2013-01-07,24,38.3058,42.97
2013-01-07,25,38.16515,42.77
2013-01-07,26,38.0807,42.63
2013-01-07,27,38.51113,42.08
2013-01-07,28,38.46655,41.99
2013-01-07,29,38.54899,42.08
2013-01-07,30,38.36961,41.86
2013-01-07,31,51.17,57.04887
2013-01-07,32,38.32914,51.02
2013-01-07,33,38.25794,55.4
2013-01-07,34,63.19,82.49689
2013-01-07,35,38.8881,68.27
2013-01-07,36,38.72426,65.55
2013-01-07,37,38.378,61.13
2013-01-07,38,38.18005,57.61
2013-01-07,39,38.00896,47.75
2013-01-07,40,38.08391,47.64
2013-01-07,41,38.20831,46.82
2013-01-07,42,38.62481,46.69
2013-01-07,43,38.70067,45.6
2013-01-07,44,35.58512,45.24
2013-01-07,45,31.8265,43.33
2013-01-07,46,27.26808,42.3
2013-01-07,47,26.36693,36.16
2013-01-07,48,24.93712,35.15
2013-01-08,1,24.69556,34.46
2013-01-08,2,26.25039,34.4
2013-01-08,3,26.49999,31.21
2013-01-08,4,26.31192,30.55
2013-01-08,5,25.99308,29.79
2013-01-08,6,25.15683,29.67
2013-01-08,7,25.50993,29.72
2013-01-08,8,25.30028,29.24
2013-01-08,9,25.36691,29.07
2013-01-08,10,24.99116,28.29
2013-01-08,11,26.15668,32.37
2013-01-08,12,26.70954,32.59
2013-01-08,13,30.47857,38.37
2013-01-08,14,42.5,60.09014
2013-01-08,15,36.7423,47.29
2013-01-08,16,49.43,70.00522
2013-01-08,17,37.93902,49.84
2013-01-08,18,38.09629,49.1
